"GEO_ID","NAME","B19051_001E","B19051_001M","B19051_002E","B19051_002M","B19051_003E","B19051_003M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!With earnings","Margin of Error!!Total!!With earnings","Estimate!!Total!!No earnings","Margin of Error!!Total!!No earnings",
"310M200US19060","Cumberland, MD-WV Metro Area","39120","1496","25233","1536","13887","1149",
"310M200US19100","Dallas-Fort Worth-Arlington, TX Metro Area","2479995","7345","2114804","9385","365191","6479",
"310M200US19140","Dalton, GA Metro Area","48631","1374","37981","1933","10650","1386",
"310M200US19180","Danville, IL Metro Area","30927","1106","21695","1197","9232","935",
"310M200US19260","Danville, VA Micro Area","45918","1418","33750","1759","12168","1164",
"310M200US19300","Daphne-Fairhope-Foley, AL Metro Area","72269","2478","51114","2885","21155","1966",
"310M200US19340","Davenport-Moline-Rock Island, IA-IL Metro Area","155753","2125","117526","2714","38227","2161",
"310M200US19380","Dayton, OH Metro Area","330430","3429","247943","3814","82487","3077",
"310M200US19460","Decatur, AL Metro Area","60697","1581","43685","1881","17012","1429",
"310M200US19500","Decatur, IL Metro Area","44429","1372","31396","1543","13033","1084",
"310M200US19660","Deltona-Daytona Beach-Ormond Beach, FL Metro Area","248938","3780","159355","3862","89583","2860",
"310M200US19740","Denver-Aurora-Lakewood, CO Metro Area","1075919","4545","903913","6861","172006","4912",
"310M200US19780","Des Moines-West Des Moines, IA Metro Area","242022","2630","203303","3054","38719","2109",
"310M200US19820","Detroit-Warren-Dearborn, MI Metro Area","1674251","7476","1251330","9137","422921","6474",
"310M200US20020","Dothan, AL Metro Area","55973","1397","39932","1292","16041","1021",
"310M200US20100","Dover, DE Metro Area","62477","1524","46541","2000","15936","1441",
"310M200US20180","DuBois, PA Micro Area","30929","1153","20840","1157","10089","744",
"310M200US20220","Dubuque, IA Metro Area","37784","981","30109","1140","7675","821",
"310M200US20260","Duluth, MN-WI Metro Area","116212","2012","84930","2432","31282","1574",
"310M200US20380","Dunn, NC Micro Area","43725","1094","33237","1477","10488","972",
"310M200US20500","Durham-Chapel Hill, NC Metro Area","215294","2695","174853","3556","40441","2865",
"310M200US20700","East Stroudsburg, PA Metro Area","55681","2167","42755","2483","12926","1504",
"310M200US20740","Eau Claire, WI Metro Area","63854","1483","49582","2071","14272","1377",
"310M200US20940","El Centro, CA Metro Area","45158","1912","33682","2006","11476","1420",
"310M200US21020","Elizabeth City, NC Micro Area","23077","1547","17048","1635","6029","964",
"310M200US21060","Elizabethtown-Fort Knox, KY Metro Area","56899","1708","43737","1837","13162","1476",
"310M200US21140","Elkhart-Goshen, IN Metro Area","68498","1832","54045","1893","14453","1550",
"310M200US21300","Elmira, NY Metro Area","34546","1160","24708","1406","9838","1039",
"310M200US21340","El Paso, TX Metro Area","261529","3534","211363","4308","50166","2943",
"310M200US21500","Erie, PA Metro Area","110138","1778","80380","2092","29758","1943",
"310M200US21660","Eugene, OR Metro Area","146602","2388","106452","3213","40150","2392",
"310M200US21700","Eureka-Arcata-Fortuna, CA Micro Area","53553","1778","39684","1973","13869","1271",
"310M200US21780","Evansville, IN-KY Metro Area","124936","2113","94780","2408","30156","1812",
"310M200US21820","Fairbanks, AK Metro Area","35475","1435","31267","1495","4208","854",
"310M200US22020","Fargo, ND-MN Metro Area","96142","1860","80173","2092","15969","1419",
"310M200US22060","Faribault-Northfield, MN Micro Area","22745","884","18425","1043","4320","699",
"310M200US22100","Farmington, MO Micro Area","24741","1503","18152","1466","6589","978",
"310M200US22140","Farmington, NM Metro Area","43030","951","34638","1227","8392","1033",
"310M200US22180","Fayetteville, NC Metro Area","137158","2345","104938","2928","32220","2108",
"310M200US22220","Fayetteville-Springdale-Rogers, AR-MO Metro Area","190860","2875","152291","3340","38569","2138",
"310M200US22300","Findlay, OH Micro Area","31389","991","25101","1361","6288","967",
"310M200US22380","Flagstaff, AZ Metro Area","45911","1843","37225","2037","8686","1235",
"310M200US22420","Flint, MI Metro Area","163488","2586","112734","2919","50754","2302",
"310M200US22500","Florence, SC Metro Area","79914","1511","58017","2194","21897","1538",
"310M200US22520","Florence-Muscle Shoals, AL Metro Area","60663","1576","41293","1652","19370","1334",
"310M200US22540","Fond du Lac, WI Metro Area","40295","1360","31780","1458","8515","854",
"310M200US22580","Forest City, NC Micro Area","25745","1497","16396","1605","9349","1096",
"310M200US22660","Fort Collins, CO Metro Area","129210","2123","103374","2864","25836","1862",
"310M200US22900","Fort Smith, AR-OK Metro Area","107375","1898","76285","2290","31090","1897",
"310M200US23060","Fort Wayne, IN Metro Area","165857","2438","130655","2951","35202","2192",
"310M200US23180","Frankfort, KY Micro Area","29262","1247","21902","1566","7360","1238",
"310M200US23420","Fresno, CA Metro Area","304209","2978","242741","3914","61468","2806",
"310M200US23460","Gadsden, AL Metro Area","39332","1467","27903","1675","11429","1214",
"310M200US23540","Gainesville, FL Metro Area","102219","2946","79372","3150","22847","1675",
"310M200US23580","Gainesville, GA Metro Area","63989","1346","51691","1694","12298","1252",
"310M200US23700","Gallup, NM Micro Area","19735","837","13805","971","5930","700",
"310M200US23900","Gettysburg, PA Metro Area","38459","921","29720","1071","8739","829",
"310M200US24020","Glens Falls, NY Metro Area","48814","1707","36073","1794","12741","1304",
"310M200US24060","Glenwood Springs, CO Micro Area","29543","1389","26273","1581","3270","779",
"310M200US24140","Goldsboro, NC Metro Area","47490","1259","35626","1531","11864","1327",
"310M200US24220","Grand Forks, ND-MN Metro Area","42166","1233","34565","1572","7601","983",
"310M200US24260","Grand Island, NE Metro Area","31703","926","26084","992","5619","717",
"310M200US24300","Grand Junction, CO Metro Area","59066","1333","46070","1801","12996","1379",
"310M200US24340","Grand Rapids-Wyoming, MI Metro Area","383194","2875","307299","3887","75895","2794",
"310M200US24420","Grants Pass, OR Metro Area","35918","1004","21994","1605","13924","1404",
"310M200US24500","Great Falls, MT Metro Area","34375","941","24579","1049","9796","1021",
"310M200US24540","Greeley, CO Metro Area","97822","1371","82181","1650","15641","1354",
"310M200US24580","Green Bay, WI Metro Area","127779","1464","101016","2325","26763","1625",
"310M200US24620","Greeneville, TN Micro Area","26660","1228","17171","1318","9489","1070",
"310M200US24640","Greenfield Town, MA Micro Area","30207","1019","23541","1215","6666","888",
"310M200US24660","Greensboro-High Point, NC Metro Area","291088","3697","220759","5209","70329","3699",
"310M200US24780","Greenville, NC Metro Area","68374","1940","54517","2379","13857","1540",
"310M200US24860","Greenville-Anderson-Mauldin, SC Metro Area","332740","3817","250932","4757","81808","3488",
"310M200US24940","Greenwood, SC Micro Area","35010","1713","24218","1640","10792","1229",
"310M200US25020","Guayama, PR Metro Area","26854","1937","11760","1641","15094","1546",
"310M200US25060","Gulfport-Biloxi-Pascagoula, MS Metro Area","146228","3566","106262","3732","39966","2444",
"310M200US25180","Hagerstown-Martinsburg, MD-WV Metro Area","97209","1865","75843","2565","21366","1696",
"310M200US25220","Hammond, LA Metro Area","46263","1864","35924","2140","10339","1492",
