Year,Month,CPI,Series Name,Geo Name,Annual Earnings per Household
2023,4,"Riverside, CA",2470.252252089585,1443666,4.8200000000000000
2023,4,"San Diego, CA",2967.914451944824,1162896,4.8860000000000000
2023,4,"San Diego, CA",2967.914451944824,1172343,4.8860000000000000
2023,4,"San Francisco, CA",3055.196093444367,1719049,4.9270000000000000
2023,4,"San Francisco, CA",3055.196093444367,1739127,4.9270000000000000
2023,4,"Seattle, WA",2167.803331320029,1584796,4.5960000000000000
2023,4,"Seattle, WA",2167.803331320029,1611580,4.5960000000000000
2023,4,"St. Louis, MO",1329.093138699007,1144111,3.4230000000000000
2023,4,"St. Louis, MO",1329.093138699007,1168546,3.4230000000000000
2023,4,"Tampa, FL",2068.6972687426564,1309614,3.6030000000000000
2023,4,"Tampa, FL",2068.6972687426564,1329075,3.6030000000000000
2023,4,"Urban Honolulu, HI",2662.2972536348675,338093,4.6650000000000000
2023,4,"Urban Honolulu, HI",2662.2972536348675,338438,4.6650000000000000
2023,4,"Washington, DC",2301.1707604523453,2384977,3.5770000000000000
2023,4,"Washington, DC",2301.1707604523453,2422671,3.5770000000000000
2023,5,"Atlanta, GA",1933.269244492112,2277482,3.2530000000000000
2023,5,"Atlanta, GA",1933.269244492112,2311639,3.2530000000000000
2023,5,"Baltimore, MD",1799.7847613700278,1117510,3.4410000000000000
2023,5,"Baltimore, MD",1799.7847613700278,1126216,3.4410000000000000
2023,5,"Boston, MA",2965.922045485664,1920160,3.4820000000000000
2023,5,"Boston, MA",2965.922045485664,1948354,3.4820000000000000
2023,5,"Chicago, IL",1997.9479387183744,3670416,4.1490000000000000
2023,5,"Chicago, IL",1997.9479387183744,3726266,4.1490000000000000
2023,5,"Dallas, TX",1812.805517049829,2836892,3.1120000000000000
2023,5,"Dallas, TX",1812.805517049829,2908436,3.1120000000000000
2023,5,"Denver, CO",2028.997378608091,1192117,3.3360000000000000
2023,5,"Denver, CO",2028.997378608091,1223825,3.3360000000000000
2023,5,"Detroit, MI",1399.429528685179,1759573,3.4530000000000000
2023,5,"Detroit, MI",1399.429528685179,1762104,3.4530000000000000
2023,5,"Houston, TX",1685.1471179984153,2601401,3.0480000000000000
2023,5,"Houston, TX",1685.1471179984153,2682645,3.0480000000000000
2023,5,"Los Angeles, CA",2887.589774845492,4452780,4.8390000000000000
2023,5,"Los Angeles, CA",2887.589774845492,4500951,4.8390000000000000
2023,5,"Miami, FL",2738.212701801465,2306639,3.5620000000000000
2023,5,"Miami, FL",2738.212701801465,2344046,3.5620000000000000
2023,5,"Minneapolis, MN",1623.8164713076758,1453400,3.5040000000000000
2023,5,"Minneapolis, MN",1623.8164713076758,1483453,3.5040000000000000
2023,5,"New York, NY",3311.8892389793727,7347700,3.5890000000000000
2023,5,"New York, NY",3311.8892389793727,7478571,3.5890000000000000
2023,5,"Philadelphia, PA",1819.7993005581184,2442868,3.5570000000000000
2023,5,"Philadelphia, PA",1819.7993005581184,2483863,3.5570000000000000
2023,5,"Phoenix, AZ",1869.1863499490664,1863195,4.9360000000000000
2023,5,"Phoenix, AZ",1869.1863499490664,1890835,4.9360000000000000
2023,5,"Riverside, CA",2481.670154462814,1441602,4.7780000000000000
2023,5,"Riverside, CA",2481.670154462814,1443666,4.7780000000000000
2023,5,"San Diego, CA",3003.387277239129,1162896,4.8240000000000000
2023,5,"San Diego, CA",3003.387277239129,1172343,4.8240000000000000
2023,5,"San Francisco, CA",3067.0401396685347,1719049,4.8520000000000000
2023,5,"San Francisco, CA",3067.0401396685347,1739127,4.8520000000000000
