census_geo_id,census_geo_name
310M200US33460,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area"
310M200US33540,"Missoula, MT Metro Area"
310M200US33660,"Mobile, AL Metro Area"
310M200US33700,"Modesto, CA Metro Area"
310M200US33740,"Monroe, LA Metro Area"
310M200US33780,"Monroe, MI Metro Area"
310M200US33860,"Montgomery, AL Metro Area"
310M200US34060,"Morgantown, WV Metro Area"
310M200US34100,"Morristown, TN Metro Area"
310M200US34580,"Mount Vernon-Anacortes, WA Metro Area"
310M200US34620,"Muncie, IN Metro Area"
310M200US34740,"Muskegon, MI Metro Area"
310M200US34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC Metro Area"
310M200US34900,"Napa, CA Metro Area"
310M200US34940,"Naples-Immokalee-Marco Island, FL Metro Area"
310M200US34980,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area"
310M200US35100,"New Bern, NC Metro Area"
310M200US35300,"New Haven-Milford, CT Metro Area"
310M200US35380,"New Orleans-Metairie, LA Metro Area"
310M200US35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area"
310M200US35660,"Niles-Benton Harbor, MI Metro Area"
310M200US35840,"North Port-Sarasota-Bradenton, FL Metro Area"
310M200US35980,"Norwich-New London, CT Metro Area"
310M200US36100,"Ocala, FL Metro Area"
310M200US36140,"Ocean City, NJ Metro Area"
310M200US36220,"Odessa, TX Metro Area"
310M200US36260,"Ogden-Clearfield, UT Metro Area"
310M200US36420,"Oklahoma City, OK Metro Area"
310M200US36500,"Olympia-Tumwater, WA Metro Area"
310M200US36540,"Omaha-Council Bluffs, NE-IA Metro Area"
310M200US36740,"Orlando-Kissimmee-Sanford, FL Metro Area"
310M200US36780,"Oshkosh-Neenah, WI Metro Area"
310M200US36980,"Owensboro, KY Metro Area"
310M200US37100,"Oxnard-Thousand Oaks-Ventura, CA Metro Area"
310M200US37340,"Palm Bay-Melbourne-Titusville, FL Metro Area"
310M200US37460,"Panama City, FL Metro Area"
310M200US37620,"Parkersburg-Vienna, WV Metro Area"
310M200US37860,"Pensacola-Ferry Pass-Brent, FL Metro Area"
310M200US37900,"Peoria, IL Metro Area"
310M200US37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area"
310M200US38060,"Phoenix-Mesa-Scottsdale, AZ Metro Area"
310M200US38220,"Pine Bluff, AR Metro Area"
310M200US38300,"Pittsburgh, PA Metro Area"
310M200US38340,"Pittsfield, MA Metro Area"
