"GEO_ID","NAME","B19051_001E","B19051_001M","B19051_002E","B19051_002M","B19051_003E","B19051_003M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!With earnings","Margin of Error!!Total!!With earnings","Estimate!!Total!!No earnings","Margin of Error!!Total!!No earnings",
"310M300US18180","Concord, NH Micro Area","58220","1355","46561","1663","11659","1474",
"310M300US18260","Cookeville, TN Micro Area","44284","1619","29611","1931","14673","1562",
"310M300US18300","Coos Bay, OR Micro Area","26578","1294","15704","1425","10874","1387",
"310M300US18500","Corning, NY Micro Area","38382","1623","27526","1473","10856","948",
"310M300US18580","Corpus Christi, TX Metro Area","160796","2852","124852","3279","35944","2775",
"310M300US18700","Corvallis, OR Metro Area","35445","1109","27852","1608","7593","1090",
"310M300US18880","Crestview-Fort Walton Beach-Destin, FL Metro Area","108474","3271","83583","3509","24891","2068",
"310M300US18980","Cullman, AL Micro Area","30740","1568","22001","1534","8739","968",
"310M300US19060","Cumberland, MD-WV Metro Area","37611","1726","25094","1562","12517","1086",
"310M300US19100","Dallas-Fort Worth-Arlington, TX Metro Area","2573711","9897","2198981","11346","374730","7810",
"310M300US19140","Dalton, GA Metro Area","48645","1696","37311","1927","11334","1257",
"310M300US19180","Danville, IL Metro Area","30241","1213","20285","1434","9956","973",
"310M300US19260","Danville, VA Micro Area","44440","1709","30145","1844","14295","1373",
"310M300US19300","Daphne-Fairhope-Foley, AL Metro Area","79120","2586","55023","3011","24097","1789",
"310M300US19340","Davenport-Moline-Rock Island, IA-IL Metro Area","151284","2494","112777","3128","38507","2066",
"310M300US19380","Dayton, OH Metro Area","329442","3759","245768","4325","83674","3318",
"310M300US19460","Decatur, AL Metro Area","56691","2036","39270","2376","17421","1929",
"310M300US19500","Decatur, IL Metro Area","42977","1505","30885","1666","12092","1139",
"310M300US19660","Deltona-Daytona Beach-Ormond Beach, FL Metro Area","260002","3990","165984","4203","94018","3362",
"310M300US19740","Denver-Aurora-Lakewood, CO Metro Area","1105758","5347","936594","6623","169164","4805",
"310M300US19780","Des Moines-West Des Moines, IA Metro Area","250612","2642","209823","2677","40789","2055",
"310M300US19820","Detroit-Warren-Dearborn, MI Metro Area","1707501","8035","1286093","9563","421408","6524",
"310M300US20020","Dothan, AL Metro Area","55442","1449","39382","1569","16060","878",
"310M300US20100","Dover, DE Metro Area","63807","1705","49236","2118","14571","1708",
"310M300US20180","DuBois, PA Micro Area","29098","1272","20065","1477","9033","884",
"310M300US20220","Dubuque, IA Metro Area","37785","966","29336","1304","8449","954",
"310M300US20260","Duluth, MN-WI Metro Area","117874","1954","84674","2182","33200","1553",
"310M300US20380","Dunn, NC Micro Area","46661","1021","36118","1343","10543","1175",
"310M300US20500","Durham-Chapel Hill, NC Metro Area","224437","2604","182418","3427","42019","2762",
"310M300US20700","East Stroudsburg, PA Metro Area","57668","2454","44575","2660","13093","1557",
"310M300US20740","Eau Claire, WI Metro Area","67079","1242","52929","1747","14150","1337",
"310M300US20940","El Centro, CA Metro Area","44478","1682","33931","1916","10547","1684",
"310M300US21020","Elizabeth City, NC Micro Area","24290","1694","17014","1421","7276","1105",
"310M300US21060","Elizabethtown-Fort Knox, KY Metro Area","57979","1618","45489","2096","12490","1405",
"310M300US21140","Elkhart-Goshen, IN Metro Area","73363","1396","60400","1876","12963","1249",
"310M300US21300","Elmira, NY Metro Area","32247","1594","23078","1842","9169","1044",
"310M300US21340","El Paso, TX Metro Area","270076","2813","219916","3488","50160","2745",
"310M300US21420","Enid, OK Metro Area","22784","1177","17369","1336","5415","917",
"310M300US21500","Erie, PA Metro Area","108458","1975","79332","2383","29126","1848",
"310M300US21660","Eugene, OR Metro Area","151675","2015","111624","2684","40051","2392",
"310M300US21700","Eureka-Arcata-Fortuna, CA Micro Area","53446","1854","39889","2078","13557","1669",
"310M300US21780","Evansville, IN-KY Metro Area","130667","2029","98584","2862","32083","1937",
"310M300US21820","Fairbanks, AK Metro Area","35046","1911","31608","1760","3438","1007",
"310M300US22020","Fargo, ND-MN Metro Area","100721","1883","87106","2238","13615","1310",
"310M300US22060","Faribault-Northfield, MN Micro Area","23130","844","18389","1030","4741","648",
"310M300US22100","Farmington, MO Micro Area","22504","1609","15677","1632","6827","1105",
"310M300US22140","Farmington, NM Metro Area","41071","1584","30845","1730","10226","956",
"310M300US22180","Fayetteville, NC Metro Area","143306","2079","111977","2547","31329","1718",
"310M300US22220","Fayetteville-Springdale-Rogers, AR-MO Metro Area","194671","3150","158874","3456","35797","2096",
"310M300US22300","Findlay, OH Micro Area","31844","1080","24180","1202","7664","1065",
"310M300US22380","Flagstaff, AZ Metro Area","47977","2031","38142","2192","9835","1221",
"310M300US22420","Flint, MI Metro Area","165719","2865","115902","3254","49817","2359",
"310M300US22500","Florence, SC Metro Area","79458","1828","58439","2414","21019","1751",
"310M300US22520","Florence-Muscle Shoals, AL Metro Area","60041","1748","41831","2127","18210","1726",
"310M300US22540","Fond du Lac, WI Metro Area","42449","902","33507","1139","8942","874",
"310M300US22580","Forest City, NC Micro Area","26408","1666","16636","1609","9772","1245",
"310M300US22660","Fort Collins, CO Metro Area","134709","2471","106288","2862","28421","1765",
"310M300US22840","Fort Payne, AL Micro Area","25848","1206","17434","1554","8414","1218",
"310M300US22900","Fort Smith, AR-OK Metro Area","108133","2228","76941","2841","31192","2218",
"310M300US23060","Fort Wayne, IN Metro Area","168359","2253","132868","2799","35491","2080",
"310M300US23180","Frankfort, KY Micro Area","30237","1237","22909","1402","7328","972",
"310M300US23420","Fresno, CA Metro Area","305819","2635","243201","3706","62618","3123",
"310M300US23460","Gadsden, AL Metro Area","37091","1718","22921","1929","14170","1377",
"310M300US23540","Gainesville, FL Metro Area","104101","2638","78345","2906","25756","2072",
"310M300US23580","Gainesville, GA Metro Area","62164","1853","50090","2012","12074","1098",
"310M300US23700","Gallup, NM Micro Area","21083","640","14975","840","6108","745",
"310M300US23900","Gettysburg, PA Metro Area","39527","1005","29744","1241","9783","800",
"310M300US24020","Glens Falls, NY Metro Area","50135","1882","36752","1898","13383","973",
"310M300US24060","Glenwood Springs, CO Micro Area","27568","1852","24049","1891","3519","752",
"310M300US24140","Goldsboro, NC Metro Area","47720","1488","35654","2160","12066","1576",
"310M300US24220","Grand Forks, ND-MN Metro Area","42613","974","33933","1410","8680","1058",
"310M300US24260","Grand Island, NE Metro Area","32578","1121","26897","1340","5681","715",
"310M300US24300","Grand Junction, CO Metro Area","61763","1535","45508","1913","16255","1546",
"310M300US24340","Grand Rapids-Wyoming, MI Metro Area","394268","3385","317399","4363","76869","2930",
"310M300US24420","Grants Pass, OR Metro Area","36493","959","21961","1505","14532","1561",
"310M300US24500","Great Falls, MT Metro Area","33346","1326","25137","1575","8209","984",
"310M300US24540","Greeley, CO Metro Area","104611","1323","87321","2065","17290","1485",
"310M300US24580","Green Bay, WI Metro Area","129383","1616","102655","2016","26728","1690",
"310M300US24620","Greeneville, TN Micro Area","27249","1469","18376","1703","8873","1180",
"310M300US24640","Greenfield Town, MA Micro Area","29239","952","21755","1116","7484","917",
"310M300US24660","Greensboro-High Point, NC Metro Area","297140","3293","228511","4186","68629","3178",
"310M300US24780","Greenville, NC Metro Area","68505","2253","54191","2650","14314","1814",
"310M300US24860","Greenville-Anderson-Mauldin, SC Metro Area","343167","3226","263462","4244","79705","3446",
"310M300US24940","Greenwood, SC Micro Area","35800","1816","25574","1536","10226","1273",
"310M300US25020","Guayama, PR Metro Area","25610","2116","10960","1805","14650","1931",
"310M300US25060","Gulfport-Biloxi-Pascagoula, MS Metro Area","150780","3773","111515","4291","39265","2816",
"310M300US25180","Hagerstown-Martinsburg, MD-WV Metro Area","98959","1966","74512","2363","24447","1894",
"310M300US25220","Hammond, LA Metro Area","49272","1581","36730","2264","12542","1779",
"310M300US25260","Hanford-Corcoran, CA Metro Area","43029","1015","35893","1387","7136","1076",
"310M300US25420","Harrisburg-Carlisle, PA Metro Area","226354","2925","177616","3386","48738","2410",
"310M300US25500","Harrisonburg, VA Metro Area","47777","1445","37713","1726","10064","1213",
"310M300US25540","Hartford-West Hartford-East Hartford, CT Metro Area","470731","4182","367254","4524","103477","3603",
"310M300US25620","Hattiesburg, MS Metro Area","54181","1765","41253","2485","12928","1950",
"310M300US25740","Helena, MT Micro Area","32950","1194","25357","1335","7593","976",
"310M300US25840","Hermiston-Pendleton, OR Micro Area","30864","1024","24417","1358","6447","1019",
"310M300US25860","Hickory-Lenoir-Morganton, NC Metro Area","141250","2821","102662","3271","38588","2171",
"310M300US25900","Hilo, HI Micro Area","68857","2122","50414","2631","18443","1980",
"310M300US25940","Hilton Head Island-Bluffton-Beaufort, SC Metro Area","79217","2727","52971","2631","26246","1797",
"310M300US25980","Hinesville, GA Metro Area","29826","1732","25237","1882","4589","1118",
"310M300US26020","Hobbs, NM Micro Area","22222","1083","17490","1274","4732","879",
"310M300US26090","Holland, MI Micro Area","44766","1071","34965","1259","9801","922",
"310M300US26140","Homosassa Springs, FL Metro Area","61290","2602","31982","2500","29308","2053",
"310M300US26300","Hot Springs, AR Metro Area","38594","1792","26277","2126","12317","1524",
"310M300US26380","Houma-Thibodaux, LA Metro Area","77302","1657","56750","2468","20552","1838",
"310M300US26420","Houston-The Woodlands-Sugar Land, TX Metro Area","2324758","11003","1980832","10709","343926","8362",
"310M300US26580","Huntington-Ashland, WV-KY-OH Metro Area","139983","2897","89204","3195","50779","2512",
"310M300US26620","Huntsville, AL Metro Area","180708","2736","141493","3385","39215","2257",
"310M300US26660","Huntsville, TX Micro Area","27477","1627","19451","1767","8026","1383",
"310M300US26740","Hutchinson, KS Micro Area","24910","1000","19197","1060","5713","758",
"310M300US26820","Idaho Falls, ID Metro Area","50941","789","40861","1195","10080","1104",
"310M300US26860","Indiana, PA Micro Area","33664","1197","23950","1251","9714","844",
"310M300US26900","Indianapolis-Carmel-Anderson, IN Metro Area","773361","5469","619529","5305","153832","4753",
"310M300US26980","Iowa City, IA Metro Area","67822","1646","56691","1795","11131","1198",
"310M300US27060","Ithaca, NY Metro Area","40230","1323","32675","1586","7555","1088",
"310M300US27100","Jackson, MI Metro Area","62220","1324","45995","1572","16225","1325",
"310M300US27140","Jackson, MS Metro Area","211178","3816","163514","3918","47664","2972",
"310M300US27180","Jackson, TN Metro Area","47865","1557","33892","1575","13973","1515",
"310M300US27260","Jacksonville, FL Metro Area","560169","5175","435733","6804","124436","4781",
"310M300US27340","Jacksonville, NC Metro Area","62941","2875","51495","2633","11446","1555",
"310M300US27460","Jamestown-Dunkirk-Fredonia, NY Micro Area","51985","2010","35810","2023","16175","1158",
"310M300US27500","Janesville-Beloit, WI Metro Area","64878","1145","49028","1647","15850","1299",
"310M300US27600","Jefferson, GA Micro Area","23785","852","18596","1120","5189","970",
"310M300US27620","Jefferson City, MO Metro Area","54732","1667","42755","1692","11977","1347",
"310M300US27740","Johnson City, TN Metro Area","83579","2777","58141","2967","25438","2135",
"310M300US27780","Johnstown, PA Metro Area","56023","1680","37746","1726","18277","1228",
"310M300US27860","Jonesboro, AR Metro Area","51087","1361","40300","2111","10787","1529",
"310M300US27900","Joplin, MO Metro Area","69136","1590","53045","1935","16091","1413",
"310M300US27980","Kahului-Wailuku-Lahaina, HI Metro Area","53616","1859","43139","1988","10477","1357",
"310M300US28020","Kalamazoo-Portage, MI Metro Area","133112","2442","103770","2860","29342","1704",
"310M300US28060","Kalispell, MT Micro Area","37236","1723","27690","1721","9546","1096",
"310M300US28100","Kankakee, IL Metro Area","39628","1191","29383","1377","10245","966",
"310M300US28140","Kansas City, MO-KS Metro Area","829475","5275","669999","6799","159476","4348",
"310M300US28180","Kapaa, HI Micro Area","22980","1082","17999","1112","4981","703",
"310M300US28300","Keene, NH Micro Area","29385","1307","22836","1241","6549","698",
"310M300US28420","Kennewick-Richland, WA Metro Area","98742","1625","77313","2317","21429","2012",
"310M300US28580","Key West, FL Micro Area","31285","1883","23227","1802","8058","958",
"310M300US28660","Killeen-Temple, TX Metro Area","149197","3097","120060","3213","29137","2145",
"310M300US28700","Kingsport-Bristol-Bristol, TN-VA Metro Area","129285","2772","86665","3104","42620","2283",
"310M300US28740","Kingston, NY Metro Area","68822","2184","53215","2023","15607","1531",
"310M300US28900","Klamath Falls, OR Micro Area","27616","1302","18508","1429","9108","1034",
"310M300US28940","Knoxville, TN Metro Area","347479","4167","260665","5039","86814","3025",
"310M300US29020","Kokomo, IN Metro Area","34243","1399","25185","1642","9058","1084",
"310M300US29100","La Crosse-Onalaska, WI-MN Metro Area","55940","878","44179","1662","11761","1215",
"310M300US29180","Lafayette, LA Metro Area","179072","3729","134137","4817","44935","3012",
"310M300US29200","Lafayette-West Lafayette, IN Metro Area","80855","1894","67069","2224","13786","1430",
"310M300US29300","LaGrange, GA Micro Area","24716","1176","17594","1455","7122","1028",
"310M300US29340","Lake Charles, LA Metro Area","81266","2406","62327","3019","18939","1892",
"310M300US29380","Lake City, FL Micro Area","24335","1258","16871","1407","7464","990",
"310M300US29420","Lake Havasu City-Kingman, AZ Metro Area","87565","2751","49377","2694","38188","1903",
"310M300US29460","Lakeland-Winter Haven, FL Metro Area","233058","4313","162991","4274","70067","3111",
"310M300US29540","Lancaster, PA Metro Area","201150","1871","160732","2950","40418","2419",
"310M300US29620","Lansing-East Lansing, MI Metro Area","186203","1991","142739","2284","43464","2211",
"310M300US29700","Laredo, TX Metro Area","74045","1601","61904","2002","12141","1502",
"310M300US29740","Las Cruces, NM Metro Area","75441","2513","52155","3104","23286","1999",
"310M300US29820","Las Vegas-Henderson-Paradise, NV Metro Area","781796","5934","619056","7015","162740","4751",
"310M300US29860","Laurel, MS Micro Area","30755","2069","22436","1957","8319","1402",
